District,Date,Operator,Lease/Facility Name,Lease/ID,API#,Drill Permit #,Well #,Field Name,County,Fire,H2S,Injuries,Deaths,Remarks
3,5/17/98,UNION PACIFIC RESOURCES CO.,Bison,,,473398.0,1,Giddings,Robertson,N,N,0.0,0.0,Well control problem - drilling
9,5/5/98,MADISON OIL COMPANY,Bond Subdivision,,,,1,Wildcat,Wilbarger,N,N,0.0,0.0,(Well kicked during drilling)
6,3/23/98,ROCKWALL MARKETING CORPORATION,"Spencer, W. E.",12548.0,,,1,Redwater (Smackover),Bowie,N,Y,0.0,0.0,(Injection well blewout)
2,3/2/98,"COSTILLA ENERGY, INC.",Migl-Mitchell,166886.0,,468055.0,1,"Speaks, SW. (13650)",Lavaca,N,N,0.0,0.0,"""Shut-in well"""
4,2/17/98,"LINDER OIL COMPANY,A PARTNERSHIP","Texaco Fee-Guerra ""E"" #1",12754.0,,470429.0,5C,Roma,Starr,N,N,0.0,0.0,Blew through casing
6,2/13/98,AMOCO PRODUCTION COMPANY,"Woods, Milton (Deep) Gas Unit",168114.0,,,6-L,Woodlawn (Cotton Valley),Harrison,N,N,1.0,0.0,(Working on well seal gave way)
10,2/13/98,"BRIGHAM OIL & GAS, L.P.",Elise 286,,,472188.0,1,Wildcat,Lipscomb,N,N,0.0,0.0,(Blew during bit trip)
3,2/7/98,WHITING PETROLEUM CORPORATION,W. S. Rhodes Lease,,,469921.0,18,"Conroe, E.",Montgomery,Y,N,0.0,0.0,
3,1/23/98,LANDON BROWNING,Sabine Royalty Co. Unit,110625.0,,,1,Corolla (Jackson 4150),Grimes,N,N,0.0,0.0,"Workover ""plugging"" rig"
3,1/19/98,THE AMERICAN ENERGY OP. CORP.,Otto Seidel,155775.0,,,6C,"Deckers Prairies, S. (2150)",Harris,N,N,0.0,0.0,
1,1/17/98,CABOT OIL & GAS CORP.,Stella Penn,,,465432.0,7,Hostetter,McMullen,N,N,0.0,0.0,(Workover-casing split)
3,1/17/98,"VINTAGE PETROLEUM, INC.",State Tract 65,167739.0,,466469.0,1,"White Heron, N. (Price Sd.)",Chambers,N,N,0.0,0.0,Pumping sub blewout
1,12/13/97,CABOT OIL & GAS CORPORATION,Stella Penn,,,466842.0,8,Hostetter @ 7950',McMullen,N,N,0.0,0.0,(Happened during completion)
8,12/12/97,TEXACO E & P INC.,Mabee Unit,4010.0,,,548,Mabee,Andrews,N,Y,0.0,0.0,"""changing out ESP equipment"
3,12/8/97,"TEXAS MERIDEN RES. EXPL., INC.",Monte Carlo Unit,,,466477.0,1,Wildcat,Galveston,N,N,0.0,0.0,
3,11/17/97,HALL-HOUSTON OIL CO.,"C. E. Balthrop, et al Gas Unit",,,465307.0,1,Wildcat,Wharton,N,N,0.0,0.0,"""Drilling operation"""
4,11/17/97,"VASTAR RESOURCES, INC.",Sweeney,,,467323.0,11,Wildcat/Donna,Hidalgo,N,N,0.0,0.0,
8A,10/30/97,MOBIL PRODUCING TX. & NM. INC.,Salt Creek Field Unit,5254.0,,,E 45W,Salt Creek,Kent,N,N,0.0,0.0,
3,10/22/97,WHITING PETROLEUM CORPORATION,H.&T.C. RR Fee Lease,20777.0,,,10,Beech Creek (Yegua 5-A),Hardin,N,N,0.0,0.0,
9,10/17/97,"RAMSEY, WALTER E.",Lucy Gamble,,,,3,,Foard,N,N,0.0,0.0,(Plugging Operation)
2,9/30/97,"EDGE PETROLEUM OPER. CO., INC.",D. M. Rush,,,468082.0,1,Wildcat,Goliad,Y,N,0.0,0.0,
8,9/22/97,MARATHON OIL COMPANY,Yates Field Unit,24061.0,,,49E88,Yates,Pecos,N,Y,0.0,0.0,Workover Rig
3,9/19/97,UNION PACIFIC RESOURCES COMPANY,Eva Marie Unit,,,465917.0,1,Giddings (Austin Chalk),Fayette,N,N,0.0,0.0,
8A,9/5/97,MOBIL PRODUCING TX. & N.M. INC.,East Mallet Unit,15298.0,,,25,Slaughter,Hockley,Y,N,0.0,0.0,Tubing ruptured on Inj. Well
3,9/1/97,D & P OPERATING CO.,E. A. Sweet,148820.0,,,3,Rattlesnake Mound (5350),Brazoria,N,N,0.0,0.0,
9,8/26/97,LONE STAR PIPELINE CO.,Lake Dallas Gas Storage,,,,9-H,,Denton,N,N,0.0,0.0,
8A,8/18/97,MOBIL PRODUCING TX & NM INC,Mallet Unit,18149.0,,,199,Slaughter,Hockley,N,Y,0.0,0.0,Well was TA'd w/CIPB-CO2 flood
3,8/10/97,Bledsoe Petroleum Corp.,Esperson Moores Bluff,,,464849.0,S-5,Esperson Dome,Liberty,N,N,0.0,0.0,
7B,8/9/97,STEPHENS & JOHNSON OPERATING CO.,Herrera,,,453727.0,1,Wildcat,Erath,N,N,0.0,0.0,
1,7/27/97,PEDECO INC.,Halff-Oppenheimer,,,463382.0,1,Pearsall (Austin Chalk),Frio,Y,Y,0.0,0.0,
4,7/7/97,TRANSTEXAS GAS CORP.,Lauro Lopez,,,463217.0,6,Alworth,Jim Hogg,N,N,0.0,0.0,
8,6/18/97,TEXACO EXPL. & PROD INC.,Bryant G (Devonian) Unit,,,458560.0,39H,Bryant -G- (Devonian),MIDLAND,N,N,0.0,0.0,
3,6/4/97,REATA OIL & GAS CORP.,O'Malley,,,462004.0,1H,Giddings (A/C-3),Washington,N,N,0.0,0.0,
3,6/4/97,Sheild Petroleum,O'Malley,,,,1 H,Giddings Austin Chalk,Washington,,,,,
3,5/31/97,DEEP ROCK RESOURCES INC.,Flower Foundation,,,459073.0,1,Wildcat,Matagorda,N,N,0.0,0.0,
8,5/20/97,R.K. PETROLEUM CORPORATION,UNIVERSITY 30-P,,,461792.0,2,WAR-WINK @ 5949,WARD,N,N,0.0,0.0,
3,5/6/97,TRANSTEXAS GAS CORP,State Tract 331,,,458931.0,1,Wildcat,GALVESTON,N,N,0.0,0.0,Drilling-Well control problem
7B,4/3/97,SABRE OIL AND GAS CORP.,Gibson,163006.0,,458934.0,1,,Erath,N,N,0.0,0.0,
3,3/24/97,HILCORP ENERGY CO.,Broussard-Herbert-LeBlanc,10200.0,,124356.0,1,M HALF CIRCLE (10200),JEFFERSON,N,N,0.0,0.0,
8,3/15/97,ABRAXAS PETROLEUM CORPORATION,Caprito 83,,,458938.0,8,ABRAXAS (CHERRY CANYON),WARD,Y,N,0.0,0.0,
3,3/1/97,"ENERGY RESOURCES MANAGEMENT, INC","RICHARDSON, C.F. ET AL",18283.0,,251991.0,,CLAY CREEK,WASHINGTON,N,N,0.0,0.0,
2,2/17/97,ANDERSON OIL CORPORATION,GANT-STONE,,,458618.0,2,FAGAN,REFUGIO,N,N,0.0,0.0,
8,2/13/97,"HERBIG, J. F.","Healey, J. H.",24725.0,,,1,"War-Wink, W. (Wolfcamp)",Ward,Y,N,0.0,0.0,
4,1/28/97,"SUEMAUR EXPLORATION, INC.",CAGE RANCH II,,,456121.0,2710,CAGE RANCH,BROOKS,N,N,0.0,0.0,
4,1/27/97,FINA OIL & CHEMICAL COMPANY,MCALLEN FIELDWIDE UNIT,51.0,,452293.0,,MCALLEN,HIDALGO,N,N,0.0,0.0,
5,1/16/97,MARATHON OIL COMPANY,Hale,86296.0,,162932.0,2,Reed (Haynesville),Freestone,N,N,0.0,0.0,
3,12/28/96,HILCORP ENERGY CORPORATION,BELLVILLE SCHOOL LAND TRACT,,,,21,RACCOON BEND,AUSTIN,N,N,0.0,0.0,
6,12/21/96,TEXACO E & P INC,H. R. Rampy Unit,,,455227.0,3,Cayuga/Wildcat,Anderson,N,N,0.0,0.0,
5,12/14/96,ZACKSON RESOURCES,CAMP COOLEY,,,451309.0,2,WILDCAT,ROBERTSON,N,N,0.0,0.0,
3,11/7/96,TEXACO,STARK WH B,,,453397.0,44,PORT NECHES,ORANGE,N,N,0.0,0.0,
5,11/4/96,GEORGE R. BROWN PARTNERSHIP,HARTLEY,,,451134.0,2,TEAGUE TOWNSITE,FREESTONE,N,N,0.0,0.0,
8A,11/4/96,MOBIL PRODUCING TX & N MEX,SALT CREEK FIELD UNIT,,,5254.0,E 313,SALT CREEK,KENT,N,Y,0.0,0.0,
10,10/18/96,LOUIS DREYFUS NATURAL GAS CORP.,Foster 248,,,452855.0,1,-0-,LIPSCOMB,Y,N,0.0,0.0,
3,10/1/96,"SMITH PRODUCTION, INC.",ARCO FEE SILSBEE,,,127327.0,6,"BUNA, WEST/WILCOX",HARDIN,N,N,0.0,0.0,
7B,8/30/96,"THROCKMORTON OIL, INC.",McLemore 33,,,447383.0,1D,,Throckmorton,N,N,0.0,0.0,
3,8/14/96,AMERICAN EXPLORATION COMPANY,Brazos Block 478-L,,,449411.0,1,Wildcat,Matagorda,N,N,0.0,0.0,(Underground Blowout)
8,7/25/96,CHEVRON U. S. A. INC.,Texas -AA-,1793.0,,,11-U,Fullerton (8500),Andrews,N,Y,0.0,0.0,(Producing Well)
8,7/16/96,"SOUTHWEST ROYALTIES, INC.",B H P hendrick -C-,2577.0,,,8,Hendrick,Winkler,N,N,0.0,0.0,
3,7/13/96,WCS OIL AND GAS CORPORATION,Marshall - Westbrook,,,449024.0,1A,Wildcat/Giddings (Austin Chalk),Lee,Y,N,0.0,1.0,
1,6/22/96,SWIFT ENERGY COMPANY,SBR,,,,62,AWP (OLMOS),MCMULLEN,Y,N,0.0,0.0,
2,4/12/96,EXXCEL OPERATING COMPANY,Kruciak Unit,6077.0,,,1,Patton (Austin Chalk),Wilson,N,Y,0.0,0.0,(Abandoned Well)
7B,3/22/96,BRECK OPERATING CORP.,Nail Tract 20,27032.0,,,2D,Nail Tract 20 (Miss.),Shackelford,Y,N,0.0,0.0,(Performing routine pump change)
4,3/15/96,"TESORO E&P COMPANY, L.P.",Longoria,,,444429.0,2,,Webb,Y,N,0.0,0.0,(Making connection when blew)
8,1/23/96,CHEVRON U. S. A. INC.,State -XU-,25135.0,,,1,"War-Wind, S. (Wolfcamp)",Ward,N,N,0.0,0.0,
1,1/15/96,SWIFT ENERGY COMPANY,SBR,,,442269.0,31,A.W.P. (Olmos),McMullen,N,N,0.0,0.0,(Completion Operation)
8A,1/10/96,"WISER OIL COMPANY, THE",Wellman Unit,62337.0,,,85,Wellman,Terry,N,N,0.0,0.0,(Workover rig on well)
3,1/3/96,UNION PACIFIC RESOURCES COMPANY,Leseman Unit,149233.0,,,1,"Giddings (Austin Chalk, Gas)",Washington,N,N,0.0,0.0,
3,12/15/95,"BADGER ENERGY, INC.",Gibbs,157755.0,,440934.0,2,Dean Lake (Wilcox 13300),Montgomery,N,N,0.0,0.0,Halliburton fracing well
8A,11/19/95,"SHARP IMAGE ENERGY, INC.",Morrison,,,441937.0,1,Wildcat,Kent,N,N,0.0,0.0,Blew during drilling operations
6,11/16/95,SUBURBAN PROPANE/QUANTUM CHEM.,Hainesville Terminal,10048.0,,,4,Hainesville Dome (Woodbine),Wood,Y,0,0.0,0.0,(Propane Storage Well Blew)
4,11/3/95,TRANS TEXAS GAS CORPORATION,Isidro Hinojosa Gas Unit,,,438229.0,1,,Starr,Y,N,0.0,1.0,
8A,10/31/95,MOBIL PRODUCING TX. & N.M. INC.,East Mallet Unit,15298.0,,,137,Slaughter,Hockley,N,N,0.0,0.0,
8A,10/30/95,Shell Western E & P Inc.,Denver Unit,18910.0,,,3626,Wasson,Yoakum,,,,,
8A,10/12/95,SHELL WESTERN E & P INC,Wasson South Clearfork Unit,62865.0,,,7509S,Wasson 72,Gaines,N,N,1.0,0.0,(Drilling out bridge plug)
6,10/9/95,J-W OPERATING CO.,Alva Williams,,,438123.0,2,,Smith,N,N,0.0,0.0,
3,10/2/95,CHESAPEAKE OPERATING INC.,Wellman,,,439617.0,2H,Giddings (Austin Chalk),Grimes,N,N,0.0,0.0,(Blew during drilling operation)
2,9/24/95,ENERGY INTERNATIONAL,Katheline Roche,81522.0,,,A 3,"Roche, West (Griffith)",Refugio,N,N,0.0,0.0,
6,9/22/95,"RIATA ENERGY, INC.",C. A. Stephens,,,439926.0,2,Trinity (Carrizo),Houston,N,N,0.0,0.0,(Reentered & Completing Well)
8A,9/20/95,SHELL WESTERN E & P INC.,Denver Unit,18910.0,,,3626,Wasson,Yoakum,N,Y,0.0,0.0,(Currently worked over well)
2,9/7/95,SENECA RESOURCES CORP.,Goodrich,,,438634.0,1,Wildcat,Lavaca,N,N,0.0,0.0,(Pulling drill pipe)
2,7/26/95,"SUPERIOR OIL & GAS INVT, L.L.C.",Foerster,,,437207.0,1,Wildcat,Goliad,N,N,0.0,0.0,(Changing Bit)
8,7/20/95,"GLOSSOP, ROBERT L.",McDonald,,,437394.0,1,,Pecos,N,Y,0.0,0.0,(Controlled Blowout)
3,7/13/95,GAITHER PETROLEUM CORPORATION,Tomball GU 2,92464.0,,,17,Tomball (Schultz N.W.),Harris,N,N,0.0,0.0,(Workover -Changing tubing)
2,6/16/95,SNYDER OIL CORPORATION,"Bennett, J.M.",151002.0,,,4,"La Salle, West (Frio 5800)",Jackson,N,N,0.0,0.0,(Recompleting Well)
4,2/24/95,MUSTANG OIL & GAS CORPORATION,Raul Guerra,,,432630.0,1,,Zapata,Y,N,0.0,0.0,
7B,1/13/95,"PITCOCK, INC.",F. Green,,,429868.0,1,Wildcat,Palo Pinto,N,N,0.0,0.0,
4,12/29/94,COASTAL OIL & GAS CORPORATION,"Guerra GU ""A""",,,426295.0,14,,Starr,N,N,0.0,0.0,
8A,12/14/94,UNION OIL COMPANY OF CALIFORNIA,Reinecke Unit,60780.0,,,67,Reinecke,Borden,N,N,0.0,0.0,
6,12/13/94,UNIDENTIFIED OPERATOR,Pickering Lumber Company,,,,B,Joaquin (Jeter),Shelby,N,N,0.0,0.0,State Plug Code 06-6766
7B,12/5/94,PRINCIPAL OIL CORP.,Whitis,,,430150.0,1,,Erath,N,N,0.0,0.0,(Drill Stem Test)
4,9/25/94,FINA OIL & CHEMICAL COMPANY,Pearl Keirn,,,425587.0,5,Wildcat,Hidalgo,N,N,0.0,0.0,(Drilling Operation)
7B,8/12/94,"JONES COMPANY, LTD.",Stunkard 2-B,,,422657.0,1,Wildcat/Shackelford Co. Reg.,Shackelford,Y,N,0.0,0.0,
2,6/19/94,MCGOWAN WORKING PARTNERS,L. P. Schultz,116280.0,,,6,Heyser (5400 #2),Victoria,N,N,0.0,0.0,Abandoned Well
3,6/13/94,"TEXAS ONSHORE ENERGY, INC.","J. A. Morgan ""B""",14144.0,,,1,Giddings (Austin Chalk-3),Fayette,N,N,0.0,0.0,
7B,5/8/94,SABRE OIL AND GAS CORP.,Boggus,,,422156.0,1,Wildcat/Palo Pinto Co. Reg.,Palo Pinto,N,N,0.0,0.0,
2,4/7/94,RINCON PETROLEUM CORPORATION,Michael Fox Estate -A-,64.0,,420150.0,9,Blanconia,Bee,N,N,0.0,0.0,
7B,3/26/94,"JONES COMPANY, LTD.",Stunkard Unit,,,421662.0,1,Wildcat/Shackelford Co. Reg.,Shackelford,N,N,0.0,0.0,
8,2/22/94,DUNDEE PETROLEUM CORPORATION,Rio Pecos,27693.0,,,1,"Dani (Wolfcamp, Upper)",Pecos,N,Y,0.0,0.0,
4,2/11/94,TRANSTEXAS GAS CORPORATION,Carr,,,419449.0,95,,Webb,N,N,0.0,0.0,
3,2/5/94,PLUM OIL & GAS,Urbanovsky-Bryant Unit,13917.0,,,2,Giddings (Austin Chalk-3),Burleson,Y,N,0.0,0.0,
3,2/1/94,SOUTHAMPTON MINERAL CORPORATION,Long Bell Petroleum,124948.0,,,1,Doucette (Woodbine),Tyler,N,N,0.0,0.0,
7B,1/6/94,EP OPERATING LIMITED PARTNERSHIP,Cook Ranch 63,,,419431.0,1,Wildcat,Shackelford,N,N,0.0,0.0,
4,12/27/93,"HLS PRODUCING, INC.","Rehmet ""A""",120959.0,,,7,"Tecolote, West (2200)",Jim Wells,N,N,0.0,0.0,
6,12/23/93,"TRICH PRODUCTION, INC.",Ina Hart Gas Unit,,,416287.0,1,Oak Hill (Cotton Valley),Harrison,N,N,0.0,0.0,
3,11/23/93,"CHESAPEAKE OPERATING, INC.",Whitmore,,,416289.0,1H,Giddings (Austin Chalk-3),Brazos,N,N,0.0,0.0,Downhole packer failure
7C,11/8/93,TEXACO E & P INC.,"A.R, Kincaid Trust 'B'",147346.0,,416987.0,18,Ozona (Canyon Sand),Crockett,N,N,0.0,0.0,Lilly Const. backhoe hit well.
3,10/28/93,UNION PACIFIC RESOURCES COMPANY,Dunlop-Keyser Unit,,,414854.0,1,Giddins (Austin Chalk-3),Brazos,N,N,0.0,0.0,
4,10/1/93,AMOCO PRODUCTION COMPANY,Peters Estate Gas Unit,,,413823.0,2,Muy Grande,Duval,N,Y,0.0,0.0,
7B,9/12/93,BRECK OPERATING CORP.,Nail Tract 20,,,414652.0,2D,Wildcat,Shackelford,N,N,0.0,0.0,
6,9/8/93,BEEM OIL & GAS COMPANY,John Mims Gas Unit 1,85894.0,,,1,Oak Hill (Cotton Valley),Rusk,N,N,0.0,0.0,
6,8/16/93,"HUNT, WM. HERBERT TRUST EST.",Tillman,,,414213.0,1,Days Chapel (Woodbine),Anderson,N,N,0.0,0.0,
3,7/27/93,"CHESAPEAKE OPERATING, INC.",Neidra,17617.0,,146836.0,1H,"Giddings (Austin Chalk, Gas)",Fayette,N,N,0.0,0.0,
2,7/17/93,SANCHEZ-O'BRIEN OIL & GAS CORP.,Hilbrich-Sellers,,,411074.0,1,"Caliente (13,700)",Karnes,Y,N,0.0,0.0,
4,6/25/93,VALERA OIL COMPANY,W. K. Hoffman,111190.0,,,18,Big Al (Lower Pettus),Duval,N,N,0.0,0.0,(Recompletion operation)
4,6/24/93,"LITTLE, LOU OPERATING CO., INC.",H. W. Gee,,,411469.0,9,Agua Dulce,Nueces,N,N,0.0,0.0,
7B,5/13/93,HARWELL ENTERPRISES INC.,"Holt ""A""",,,411111.0,1,,Palo Pinto,N,N,0.0,0.0,
4,4/9/93,COLUMBUS ENERGY CORP.,Acevedo-Haering,,,409423.0,5Q,"Laredo, S. (Queen City)",Webb,N,N,0.0,0.0,
3,4/2/93,TORCH OPERATING COMPANY,Baca,,,408522.0,1H,Giddings (Austin Chalk-3),Fayette,Y,N,6.0,1.0,
6,3/20/93,SAMSON RESOURCES COMPANY,Paul P. Rogers,,,406099.0,6,Carthage (Cotton Valley),Panola,N,N,0.0,0.0,"""Fracing well"""
3,3/10/93,HOWELL PETROLEUM CORPORATION,W. W. Duson -D- Lease,2459.0,,,1,Hutchins-Kubela (Gilcrease Sd.),Wharton,N,N,0.0,0.0,
8,2/2/93,TEXACO E & P INC.,Mabee Unit,4010.0,,,377W,Mabee,Andrews,N,Y,0.0,0.0,(Tubing valve failure)
9,1/7/93,E. ANTLE,Jones,,,406961.0,1,,Wise,Y,N,0.0,0.0,
6,12/31/92,TEXACO E & P INC.,Crenshaw Gas Unit 2,,,403516.0,3,"Bethany, E. (Cotton Valley)",Panola,Y,N,2.0,0.0,
8,11/19/92,ARCH PETROLEUM INC.,Pure Walton,136703.0,,,15G,Keystone (Ellenburger) Field,Winkler,N,N,0.0,0.0,
3,11/18/92,"MIDCHANNEL OIL & GAS, INC.",J. O. Nelson,,,404253.0,9,Livingston (2410),Polk,N,N,0.0,0.0,
2,11/13/92,"WOOD HI CO., INC.",F. H. Burns,,,403940.0,A-5,Pridham Lake,Victoria,Y,N,0.0,0.0,
6,11/8/92,EXXON CORP.,Hawkins Field Unit,,,404594.0,3203,Hawkins (Woodbine),Wood,Y,N,0.0,0.0,
4,10/28/92,COLUMBUS ENERGY CORP.,Acevedo-Haering,,,404666.0,4,Wildcat/Volz (Lobo),Webb,N,N,0.0,0.0,
3,10/11/92,COLUMBUS ENERGY CORP.,S.J.R.A.,,,403289.0,3J,Sralla Road (Jackson 9050),Harris,N,N,1.0,0.0,
3,9/17/92,UNIDENTIFIED OPERATOR,MASON,,,,A,HUMBLE,HARRIS,N,Y,0.0,0.0,
3,9/16/92,J. H. PHELAN,Dennis Heirs,,,,3,Humble,Harris,N,Y,0.0,0.0,(Tree Chopper Hit Well)
3,9/3/92,STANLEY H. ROSENTHAL,"Kountze, Denman, ETAL -A-",99.0,,,6,Arch,Matagorda,N,N,0.0,0.0,(Producing Well-Packer failure)
7C,8/24/92,ENRON OIL & GAS COMPANY,Henderston Trust 2701 ST,,,402350.0,2701ST,Ozona (Canyon Sand),Crockett,Y,N,0.0,0.0,
7B,8/12/92,"ROMAC OIL COMPANY, INC.",Bailes-Parmenter-Jones Unit #1,4874.0,,,8,Bailes,Throckmorton,N,N,0.0,0.0,
3,6/13/92,C. F. HAAS OIL & GAS INC.,C. J. Daboval,,,93125.0,A 5,Daboval (7180),Wharton,N,N,0.0,0.0,(Producing Well)
3,6/13/92,ROYAL OIL & GAS CORP.,Roades Unit,,,398895.0,1,Wildcat,Wharton,N,N,0.0,0.0,
2,6/10/92,"SFM HOLDINGS, INC.",O. R. Borchers,70346.0,,,4,Borchers (2300),Lavaca,N,N,0.0,0.0,
3,5/10/92,UNION PACIFIC RESOURCES COMPANY,Yelderman-Bredthauer Unit,,,394036.0,1,Giddings (Austin Chalk-3),Washington,N,N,0.0,0.0,
7C,3/8/92,SAMSON RESOURCES COMPANY,Gerald Nicks,141127.0,,394948.0,3,Whitehead (Strawn),Sutton,N,N,0.0,0.0,
9,3/3/92,ARCO OIL & GAS CO.,Walnut Bend Field Unit No. 2,13266.0,,,403,Walnut Bend (Hudspeth),Cooke,Y,N,2.0,0.0,
8,2/28/92,PARKER & PARSLEY DEVELOPMENT CO.,Westerfeld,,,396059.0,1,Spraberry (Trend Area),Midland,N,N,0.0,0.0,
3,1/24/92,-0-,"Stop-N-Go Store, Tomball, Texas",,,,,Near Hook Gas Field,Harris,N,N,0.0,0.0,(Water well started blowing gas)
7B,1/24/92,"JONES COMPANY, LTD.","Hickman ""13""",,,395837.0,2,,Shackelford,N,N,0.0,0.0,
10,1/22/92,"COMSTOCK OIL & GAS, INC.",Bivins,6012.0,,,5025M,Panhandle Potter County,Moore,N,N,0.0,0.0,RRC Witnessed P&A Job
3,1/14/92,DSTJ Corporation,Arco Hardin County School Land,,,394450.0,1,Village Mills,Hardin,Y,N,0.0,0.0,
8,12/28/91,MATADOR OPERATING COMPANY,Bailey,,,,1,Wildhorse (Upper Canyon),Howard,N,N,0.0,0.0,(Truck backed over Xmas tree.)
8,12/19/91,CLEERE OPERATING CO.,Terry 8,32352.0,,,1,Conger (Penn),Sterling,Y,N,1.0,0.0,
8,12/10/91,PARKER & PARSLEY DEV. CO.,"Hutt ""F""",,,394561.0,1,Spraberry (Trend Area),Midland,N,N,0.0,0.0,
2,12/1/91,CTR PETROLEUM INC.,"F. B. Rooke ""B""",63578.0,,,18,Refugio Heard (2850),Refugio,N,N,0.0,0.0,
8A,11/24/91,AMOCO PRODUCTION COMPANY,North Cedar Lake Unit,,,,23,,Gaines,N,N,3.0,0.0,
8,11/15/91,SCHNEIDER OIL AND GAS,University -D-,6733.0,,,1,Taylor Link,Pecos,N,N,0.0,0.0,
3,11/15/91,THE DOW CHEMICAL CO.,Dow Fee,14753.0,,,2A,Stratton Ridge,Brazoria,N,N,0.0,0.0,(Well head blew off)
3,11/13/91,Ken Petroleum Corporation,B. L. Franke,55933.0,,,1,"Hutchins, SW (5800 Sd)",Wharton,N,N,0.0,0.0,In process of plugging well.
3,10/24/91,"CHEASAPEAKE OPERATING, INC.",Abbie,,,381955.0,1H,Giddings (Austin Chalk-3),Fayette,Y,N,0.0,0.0,
2,10/2/91,QUINTANA PETROLEUM CORPORATION,Fannie V. W. Heard,74197.0,,,1G,Tom O'Connor (4050),Refugio,N,N,0.0,0.0,
8,9/27/91,TEXASGULF INC.,Lethco Et Al-State of Texas,,,391757.0,2030,Wildcat,Pecos,N,Y,0.0,0.0,
7C,9/23/91,"MIDAMERICA RESOURCES, INC.","Turner ""C""",8035.0,,,1,Spraberry (Trend Area),Reagan,N,N,0.0,0.0,
7C,9/13/91,C. F. LAWRENCE & ASSOC. INC.,"Todd ""N""",9737.0,,,1-A,Todd (San Andres),Crockett,N,N,0.0,0.0,
1,8/15/91,ORYX ENERGY COMPANY,M. L. Lasater,12381.0,,,8,Pearsall (Austin Chalk),Zavala,N,Y,0.0,0.0,
7B,7/24/91,"THROCKMORTON OIL, INC.",Lambshead B-10,,,389235.0,1,Wildcat,Throckmorton,N,N,0.0,0.0,
8,7/19/91,TEXASGULF INC.,Lethco et al,,,394846.0,2032,Wildcat,Pecos,N,Y,0.0,0.0,
8A,7/4/91,EXXON COMPANY USA,Sharon Ridge Canyon Unit,1037.0,,,4205,Diamond -M- (Canyon Lime Area),Scurry,Y,N,3.0,0.0,
8A,5/7/91,"VENTURE EQUIPMENT, INC.",Elmo Bush,62721.0,,,1,"Post, West (Strawn)",Garza,N,N,0.0,0.0,
3,5/1/91,PLUM OIL & GAS,Marie Bordages,111710.0,,,1,Hilderbrandt Bayou (9875 Hebert),Jefferson,N,N,0.0,0.0,
3,4/21/91,WAINOCO OIL & GAS,O'Connell,115560.0,,,1,"Matthews, SE (Yegua 6600)",Wharton,N,N,0.0,0.0,
8A,4/18/91,SHELL WESTERN EXPL. & PROD. INC.,Denver Unit,18910.0,,,2538WC,Wasson,Yoakum,N,N,0.0,0.0,
3,4/10/91,TORCH OPERATING COMPANY,Appelt,,,383858.0,8H,Giddings (Austin Chalk-3),Fayette,N,N,0.0,0.0,
4,4/7/91,SANCHEZ-O'BRIEN OIL & GAS CORP.,Coates,,,382398.0,1,McAllen Ranch (Vicksburg),Hidalgo,N,N,0.0,0.0,Xmas tree failed.
2,3/12/91,T - C OIL COMPANY,O'Connor,,,383941.0,76,Huff,Refugio,N,N,0.0,0.0,
1,1/28/91,TANA OIL & GAS CORP.,Eschenburg,,,377919.0,2,Pilgrim (Austin Chalk),Gonzales,N,Y,0.0,0.0,Horizontal Well
7B,1/17/91,"BANDERA PETROLEUM, INC.",W. A. Gragg -A-,51000.0,,,2,Palo Pinto Co. Reg. (Gas),Palo Pinto,N,N,0.0,0.0,
3,12/13/90,TEXAS MERIDIAN OPERATING CO. INC,H. W. Sudduth,,,381508.0,5,Skinner Lakes,Newton,N,N,0.0,0.0,
8,11/15/90,AMOCO PRODUCTION COMPANY,H. Foster,22457.0,,,,"Cowden, South (Canyon 8790)",Ector,N,N,0.0,0.0,
8,10/28/90,SHARP IMAGE ENERGY INC.,Hawk,,,379695.0,2,El Cinco (Detriral),Pecos,Y,Y,0.0,0.0,
4,10/17/90,"MESTENA, INC.",Leoncito Shallow,,,378675.0,8,Alta Mesa,Brooks,N,N,0.0,0.0,
2,10/14/90,ANICO SIX SIXTY SIX,C. S. Vance,120897.0,,,1,Carmichael (24OO),Jackson,N,N,0.0,0.0,
3,10/5/90,GEOSOUTHERN ENERGY CORP.,Laura Belle,135611.0,,,1,Vanessa (Wilcox),Fayette,N,N,0.0,0.0,(Underground Blowout)
5,9/19/90,SAMEDAN OIL CORP.,Winfree,117405.0,,,2,Teague (Cotton Valley),Freestone,N,N,0.0,0.0,(Underground Blowout)
3,9/11/90,UNION PACIFIC RESOURCES COMPANY,Fred Kasper,,,375466.0,1,Giddings (Austin Chalk-3),Fayette,N,N,0.0,0.0,
4,9/6/90,"L. TEXAS PETROLEUM, INC.","Hinnant & Fullbright, Ltd.",,,374286.0,1,Berry R. Cox,Jim Hogg,Y,N,0.0,1.0,
7B,9/4/90,RICHEY OPERATING INC.,J. W. Phillips,12707.0,,,1B,J. S. Lewis (Marble Falls),Brown,N,N,0.0,0.0,
3,8/23/90,AMERADA HESS CORPORATION,"Venus Oil, Mid-Vid",,,375208.0,3,Vidor-Ames,Orange,N,N,0.0,0.0,
9,7/29/90,R. M. HILL,"Choate ""A""",27781.0,,375659.0,1,Minta,Young,N,N,0.0,0.0,"(Blewout @ 3,080')"
